ddinter_id,ddinter_name,hetionet_compound_id,hetionet_name,mapping_method,mapping_status
DDInter720,Fenoldopam,Compound::DB00800,Fenoldopam,normalized case-insensitive exact generic name,exact_name
DDInter721,Fenoprofen,Compound::DB00573,Fenoprofen,normalized case-insensitive exact generic name,exact_name
DDInter722,Fentanyl,Compound::DB00813,Fentanyl,normalized case-insensitive exact generic name,exact_name
DDInter723,Ferric carboxymaltose,,,none,unmapped
DDInter724,Ferric derisomaltose,,,none,unmapped
DDInter725,Ferrous fumarate,,,none,unmapped
DDInter726,Ferrous gluconate,,,none,unmapped
DDInter727,Ferrous sulfate anhydrous,,,none,unmapped
DDInter728,Ferumoxides,,,none,unmapped
DDInter729,Ferumoxsil,,,none,unmapped
DDInter73,Aminolevulinic acid (topical),,,none,unmapped
DDInter730,Ferumoxytol,,,none,unmapped
DDInter731,Fesoterodine,,,none,unmapped
DDInter732,Fexofenadine,,,none,unmapped
DDInter733,Fibrinogen human,,,none,unmapped
DDInter734,Fidaxomicin,,,none,unmapped
DDInter735,Filgrastim,,,none,unmapped
DDInter736,Finasteride,,,none,unmapped
DDInter737,Fingolimod,,,none,unmapped
DDInter738,Flavoxate,,,none,unmapped
DDInter739,Flax seed,,,none,unmapped
DDInter74,Aminophylline,,,none,unmapped
DDInter740,Flecainide,,,none,unmapped
DDInter741,Flibanserin,,,none,unmapped
DDInter742,Floxuridine,,,none,unmapped
DDInter743,Fluconazole,,,none,unmapped
DDInter744,Flucytosine,,,none,unmapped
DDInter745,Fludarabine,,,none,unmapped
DDInter746,Fludeoxyglucose (18F),,,none,unmapped
DDInter747,Fludrocortisone,Compound::DB00687,Fludrocortisone,normalized case-insensitive exact generic name,exact_name
DDInter748,Flumazenil,,,none,unmapped
DDInter749,Flunisolide,,,none,unmapped
DDInter75,Aminosalicylic acid,Compound::DB00233,Aminosalicylic Acid,normalized case-insensitive exact generic name,exact_name
DDInter750,Flunisolide (nasal),,,none,unmapped
DDInter751,Fluocinolone acetonide,,,none,unmapped
DDInter752,Fluocinonide,,,none,unmapped
DDInter753,Fluocinonide (topical),,,none,unmapped
DDInter755,Fluorometholone,,,none,unmapped
DDInter756,Fluorometholone (ophthalmic),,,none,unmapped
DDInter757,Fluorouracil,,,none,unmapped
DDInter758,Fluoxetine,,,none,unmapped
DDInter759,Fluoxymesterone,Compound::DB01185,Fluoxymesterone,normalized case-insensitive exact generic name,exact_name
DDInter76,Amiodarone,,,none,unmapped
DDInter760,Fluphenazine,,,none,unmapped
DDInter761,Flurandrenolide (topical),,,none,unmapped
DDInter762,Flurazepam,,,none,unmapped
DDInter763,Flurbiprofen,Compound::DB00712,Flurbiprofen,normalized case-insensitive exact generic name,exact_name
DDInter764,Flurbiprofen (ophthalmic),,,none,unmapped
DDInter765,Flutamide,,,none,unmapped
DDInter766,Fluticasone,,,none,unmapped
DDInter767,Fluticasone (nasal),,,none,unmapped
DDInter768,Fluticasone (topical),,,none,unmapped
DDInter769,Fluvastatin,Compound::DB01095,Fluvastatin,normalized case-insensitive exact generic name,exact_name
DDInter77,Amisulpride,,,none,unmapped
DDInter770,Fluvoxamine,,,none,unmapped
DDInter771,Folic acid,,,none,unmapped
DDInter772,Follitropin,,,none,unmapped
DDInter773,Fomepizole,,,none,unmapped
DDInter775,Fondaparinux,,,none,unmapped
DDInter776,Formoterol,Compound::DB00983,Formoterol,normalized case-insensitive exact generic name,exact_name
DDInter777,Fosamprenavir,,,none,unmapped
DDInter778,Fosaprepitant,,,none,unmapped
DDInter779,Foscarnet,,,none,unmapped
DDInter78,Amitriptyline,,,none,unmapped
DDInter780,Fosfomycin,,,none,unmapped
DDInter781,Fosinopril,Compound::DB00492,Fosinopril,normalized case-insensitive exact generic name,exact_name
DDInter782,Fosnetupitant,,,none,unmapped
DDInter783,Fosphenytoin,,,none,unmapped
DDInter784,Fospropofol,,,none,unmapped
DDInter785,Fostamatinib,,,none,unmapped
DDInter786,Fostemsavir,,,none,unmapped
DDInter787,Frangula purshiana bark,,,none,unmapped
DDInter788,Frovatriptan,,,none,unmapped
DDInter789,Fulvestrant,,,none,unmapped
DDInter79,Amlodipine,Compound::DB00381,Amlodipine,normalized case-insensitive exact generic name,exact_name
DDInter790,Furosemide,Compound::DB00695,Furosemide,normalized case-insensitive exact generic name,exact_name
DDInter791,Gabapentin,,,none,unmapped
DDInter792,Gadobenic acid,,,none,unmapped
DDInter793,Gadobutrol,,,none,unmapped
DDInter794,Gadodiamide,,,none,unmapped
DDInter795,Gadofosveset trisodium,,,none,unmapped
DDInter796,Gadopentetic acid,,,none,unmapped
DDInter797,Gadoteric acid,,,none,unmapped
DDInter798,Gadoteridol,,,none,unmapped
DDInter799,Gadoversetamide,,,none,unmapped
DDInter8,Abiraterone,,,none,unmapped
DDInter80,Ammonium chloride,,,none,unmapped
DDInter800,Gadoxetic acid,,,none,unmapped
DDInter801,Galactose,,,none,unmapped
DDInter802,Galantamine,,,none,unmapped
DDInter803,Gallium chloride Ga-67,,,none,unmapped
DDInter804,Gallium nitrate,,,none,unmapped
DDInter805,gamma-Aminobutyric acid,,,none,unmapped
DDInter806,Ganciclovir,,,none,unmapped
DDInter807,Ganirelix,,,none,unmapped
DDInter808,Garlic,,,none,unmapped
DDInter809,Gatifloxacin,,,none,unmapped
DDInter81,Amobarbital,,,none,unmapped
DDInter810,Gefitinib,,,none,unmapped
DDInter811,Gemcitabine,,,none,unmapped
DDInter812,Gemfibrozil,Compound::DB01241,Gemfibrozil,normalized case-insensitive exact generic name,exact_name
DDInter813,Gemifloxacin,,,none,unmapped
DDInter814,Gemtuzumab ozogamicin,,,none,unmapped
DDInter815,Gentamicin,,,none,unmapped
DDInter816,Gentamicin (topical),,,none,unmapped
DDInter817,Gilteritinib,,,none,unmapped
DDInter818,Ginger,,,none,unmapped
DDInter819,Ginkgo biloba,,,none,unmapped
DDInter82,Amoxapine,,,none,unmapped
